Date,CO,SO2,O3,AQI,latitude,longitude
16-04-2024,2.72,43.62,54.78,118,12.972149,79.162533
16-04-2024,3.14,22.27,32.26,120,12.972149,79.162533
16-04-2024,5.27,14.91,41.19,106,12.972149,79.162533
16-04-2024,0.64,16.31,8.02,105,12.972149,79.162533
16-04-2024,0.6,18.93,6.2,101,12.972149,79.162533
16-04-2024,0.65,18.99,7.97,93,12.972149,79.162533
16-04-2024,0.72,11.28,10.18,67,12.972149,79.162533
16-04-2024,0.55,10.29,7.44,60,12.972149,79.162533
16-04-2024,0.55,14.58,2.6,90,12.972149,79.162533
16-04-2024,0.1,13.62,4.87,78,12.972149,79.162533
16-04-2024,0.18,11.52,2.79,91,12.972149,79.162533
16-04-2024,1.52,11.23,4.61,70,12.972149,79.162533
16-04-2024,2.31,19.08,42.43,114,12.972149,79.162533
16-04-2024,0.98,19.01,,72,12.972149,79.162533
16-04-2024,4.09,17.01,,91,12.972149,79.162533
16-04-2024,1.94,14.26,,114,12.972149,79.162533
16-04-2024,1.64,15.8,,99,12.972149,79.162533
16-04-2024,6.67,15.07,,117,12.972149,79.162533
16-04-2024,,,9.73,105,12.972149,79.162533
16-04-2024,,,24.71,80,12.972149,79.162533
16-04-2024,,,19.89,102,12.972149,79.162533
16-04-2024,101.89,64.92,84.85,116,12.972149,79.162533
16-04-2024,2.2,52.32,6.35,113,12.972149,79.162533
16-04-2024,1.89,79.47,4.87,113,12.972149,79.162533
16-04-2024,2.38,45.44,23.58,114,12.972149,79.162533
16-04-2024,2.28,26.68,16.92,116,12.972149,79.162533
16-04-2024,0.59,32.01,42.61,113,12.972149,79.162533
16-04-2024,0.45,25.09,39,89,12.972149,79.162533
16-04-2024,0.36,21.57,42.16,101,12.972149,79.162533
16-04-2024,0.39,26.86,47.88,95,12.972149,79.162533
16-04-2024,0.37,21.85,43.35,89,12.972149,79.162533
16-04-2024,0.43,23.5,44.04,88,12.972149,79.162533
16-04-2024,0.36,22.03,54.24,95,12.972149,79.162533
16-04-2024,0.36,18.03,37.28,92,12.972149,79.162533
16-04-2024,0.41,36.24,39.3,96,12.972149,79.162533
16-04-2024,0.36,21,40.56,99,12.972149,79.162533
16-04-2024,0.34,25.22,38.31,86,12.972149,79.162533
16-04-2024,0.39,19.16,38.23,87,12.972149,79.162533
16-04-2024,0.45,15.83,42.22,101,12.972149,79.162533
16-04-2024,0.35,32.39,43.6,106,12.972149,79.162533
16-04-2024,0.28,20.59,51.81,110,12.972149,79.162533
16-04-2024,0.38,16.51,41.74,98,12.972149,79.162533
16-04-2024,0.4,10.58,44.44,101,12.972149,79.162533
16-04-2024,0.46,29.73,52.46,117,12.972149,79.162533
16-04-2024,0.48,,52.31,117,12.972149,79.162533
16-04-2024,0.56,,55.49,117,12.972149,79.162533
16-04-2024,0.41,,47.74,112,12.972149,79.162533
16-04-2024,0.4,,53.06,104,12.972149,79.162533
16-04-2024,0.79,21.29,56.78,101,12.972149,79.162533
16-04-2024,0.63,14.73,4.08,92,12.972149,79.162533
16-04-2024,0.71,14.4,40.28,95,12.972149,79.162533
16-04-2024,0.82,13.05,36.32,93,12.972149,79.162533
16-04-2024,0.57,11.6,30.16,97,12.972149,79.162533
16-04-2024,0.86,12.69,39.69,84,12.972149,79.162533
16-04-2024,0.85,16.22,44.32,101,12.972149,79.162533
16-04-2024,0.68,18.41,37.38,92,12.972149,79.162533
16-04-2024,0.85,16.27,45.05,105,12.972149,79.162533
16-04-2024,1.18,17.51,30.53,98,12.972149,79.162533
16-04-2024,0.86,20.82,35.29,96,12.972149,79.162533
16-04-2024,0.85,19.3,33.59,96,12.972149,79.162533
